Date,Rot,VH,Team,Pitcher,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,Final,Open,Close,RL,OpenOU,,CloseOU,
403,922,H,TOR,MSHOEMAKER-R,1,0,1,0,0,0,0,3,x,5,-165,-150,-1.5(+135),9,-110,8.5,-120
403,923,V,HOU,GCOLE-R,0,0,0,0,0,0,0,0,0,0,-165,-210,-1.5(-140),9,-110,9,-105
403,924,H,TEX,MMINOR-L,1,0,0,2,0,0,0,1,x,4,144,190,+1.5(+120),9,-110,9,-115
403,925,V,BOS,NEOVALDI-R,0,0,0,0,1,2,0,0,3,6,-130,-140,-1.5(+114),8.5,-110,8.5,-115
403,926,H,OAK,MESTRADA-R,0,1,0,2,0,0,0,0,0,3,110,130,+1.5(-134),8.5,-110,8.5,-105
403,927,V,COL,GMARQUEZ-R,0,0,0,0,0,0,0,0,0,1,112,114,+1.5(-200),7,-110,6.5,-125
403,928,H,TAM,CMORTON-R,0,0,0,0,0,0,0,0,0,0,-132,-124,-1.5(+170),7,-110,6.5,105
404,951,V,WAS,SSTRASBURG-R,0,1,0,0,0,1,0,0,2,4,115,120,+1.5(-200),6.5,-119,6.5,-120
404,952,H,NYM,NSYNDERGAARD-R,0,0,0,0,0,0,0,0,0,0,-135,-130,-1.5(+170),6.5,-101,6.5,100
404,955,V,CIN,TMAHLE-R,0,0,0,0,0,0,0,0,0,0,105,-110,-1.5(+148),7.5,-119,8,-115
404,956,H,PIT,JLYLES-R,0,0,0,0,0,0,1,1,x,2,-125,100,+1.5(-170),7.5,-101,8,-105
404,957,V,CUB,YDARVISH-R,0,0,0,0,0,0,0,0,4,4,100,112,+1.5(-190),9,-101,9,100
404,958,H,ATL,MFRIED-L,0,0,0,1,5,0,1,2,x,9,-120,-122,-1.5(+163),9,-119,9,-120
404,959,V,KAN,JJUNIS-R,1,0,1,0,1,0,0,1,0,4,-110,-109,-1.5(+148),7.5,-119,7.5,-115
404,960,H,DET,STURNBULL-R,2,0,0,0,1,0,2,0,x,5,-110,-101,+1.5(-170),7.5,-101,7.5,-105
404,963,V,NYY,JPAXTON-L,0,0,1,0,0,4,0,0,3,8,-200,-215,-1.5(-140),8,-119,7.5,-120
404,964,H,BAL,ACOBB-R,3,0,0,0,1,0,0,0,0,4,170,195,+1.5(+120),8,-101,7.5,100
404,965,V,BOS,ERODRIGUEZ-L,2,0,1,0,0,0,0,0,0,3,-120,-118,-1.5(+140),8.5,100,8,-115
404,966,H,OAK,BANDERSON-L,0,0,3,3,0,1,0,0,x,7,100,108,+1.5(-160),8.5,-120,8,-105
404,967,V,TOR,ASANCHEZ-R,0,0,0,0,0,0,0,0,1,1,144,180,+1.5(-127),7,-110,6.5,-115
404,968,H,CLE,TBAUER-R,0,0,0,2,0,0,2,0,x,4,-165,-200,-1.5(+109),7,-110,6.5,-105
404,969,V,TEX,EVOLQUEZ-R,5,0,1,0,3,0,0,2,0,11,130,150,+1.5(-136),8,-119,9,-110
404,970,H,LAA,MHARVEY-R,1,0,1,0,0,1,0,0,1,4,-150,-160,-1.5(+116),8,-101,9,-110
405,901,V,LAD,KMAEDA-R,0,0,1,1,4,1,2,0,1,10,-130,-130,-1.5(+115),-120,100,-120,100
405,902,H,COL,TANDERSON-L,0,0,1,0,0,0,3,0,2,6,110,120,+1.5(-135),-120,-120,-120,-120
405,903,V,CIN,SGRAY-R,0,0,0,0,0,0,0,0,0,0,105,126,+1.5(-170),8,-105,8,100
405,904,H,PIT,JMUSGROVE-R,0,0,0,0,0,0,1,1,x,2,-125,-136,-1.5(+148),8,-115,8,-120
405,905,V,MIA,PLOPEZ-R,0,0,0,0,0,0,0,0,0,0,151,150,+1.5(-135),8.5,-105,8,-115
405,906,H,ATL,KGAUSMAN-R,0,0,0,4,0,0,0,0,x,4,-175,-160,-1.5(+115),8.5,-115,8,-105
405,907,V,CUB,JQUINTANA-L,0,0,0,4,1,0,0,2,3,10,120,115,+1.5(-185),8.5,-119,8.5,-120
405,908,H,MIL,BWOODRUFF-R,2,4,2,0,2,0,3,0,x,13,-140,-125,-1.5(+160),8.5,-101,8.5,100
405,909,V,TOR,TTHORNTON-R,0,0,0,0,2,0,0,0,0,2,120,130,+1.5(-172),7,-120,7.5,105
405,910,H,CLE,SBIEBER-R,0,0,1,0,1,0,0,0,1,3,-140,-140,-1.5(+150),7,100,7.5,-125
405,911,V,OAK,FMONTAS-R,0,0,0,1,0,0,0,0,1,2,144,145,+1.5(-140),8.5,-110,8.5,-120
